2045,"135 TEHAMA STREET                        , Brooklyn, NY, 11218",Match,Exact,"135 TEHAMA ST, BROOKLYN, NY, 11218","-73.98469,40.64353",59080148,L,36,47,49600,3004
2046,"1634 78TH STREET                         , Brooklyn, NY, 11214",Match,Exact,"1634 78TH ST, BROOKLYN, NY, 11214","-74.001884,40.614143",59088023,R,36,47,18200,1002
2047,"1431 EAST 22ND STREET                    , Brooklyn, NY, 11210",Match,Exact,"1431 E 22ND ST, BROOKLYN, NY, 11210","-73.952774,40.617214",59089982,L,36,47,75800,1002
2048,"3379 BEDFORD AVENUE                      , Brooklyn, NY, 11210",Match,Exact,"3379 BEDFORD AVE, BROOKLYN, NY, 11210","-73.9504,40.619884",59090010,L,36,47,75400,2001
2049,"2255 EAST 18TH STREET                    , Brooklyn, NY, 11229",Match,Exact,"2255 E 18TH ST, BROOKLYN, NY, 11229","-73.95289,40.595665",59091524,L,36,47,59200,1002
2050,"1338 72 STREET                           , Brooklyn, NY, 11228",Match,Exact,"1338 72ND ST, BROOKLYN, NY, 11228","-74.00475,40.621483",59087920,R,36,47,19800,1000
2051,"2346 BOYNTON PLACE                       , Brooklyn, NY, 11223",Match,Exact,"2346 BOYNTON PL, BROOKLYN, NY, 11223","-73.9766,40.59057",59090680,R,36,47,30800,1001
2052,"700 LAFAYETTE AVENUE                     , Brooklyn, NY, 11221",Match,Exact,"700 LAFAYETTE AVE, BROOKLYN, NY, 11221","-73.94512,40.69059",59079162,R,36,47,26300,1000
2053,"124 MACKENZIE STREET                     , Brooklyn, NY, 11235",Match,Exact,"124 MACKENZIE ST, BROOKLYN, NY, 11235","-73.94015,40.580105",59092184,R,36,47,62000,2002
2054,"1831 53RD   STREET                       , Brooklyn, NY, 11204",Match,Exact,"1831 53RD ST, BROOKLYN, NY, 11204","-73.98249,40.625572",59097909,L,36,47,47200,2001
2055,"774 PUTNAM AVENUE                        , Brooklyn, NY, 11221",Match,Exact,"774 PUTNAM AVE, BROOKLYN, NY, 11221","-73.9308,40.68624",59082744,R,36,47,29500,1000
2056,"1120 EAST 24TH STREET                    , Brooklyn, NY, 11210",Match,Exact,"1120 E 24TH ST, BROOKLYN, NY, 11210","-73.95202,40.623158",59089951,R,36,47,75400,1003
2057,"380 PUTNAM AVE                           , Brooklyn, NY, 11216",Match,Exact,"380 PUTNAM AVE, BROOKLYN, NY, 11216","-73.94609,40.684483",59079200,R,36,47,26700,2001
2058,"1221 EAST 7TH   STREET                   , Brooklyn, NY, 11230",Match,Exact,"1221 E 7TH ST, BROOKLYN, NY, 11230","-73.96846,40.621002",59089596,L,36,47,45200,1001
